seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
6,1,1.5,balanced,0.35,768,,10,134,144,24,420,0.8481012658227848,0.8991596638655462,0.48201438848920863,0.45726495726495725,0.6146788990825688,0.6062322946175638,0.7362637362637363,0.7535211267605634,0.735764106552247,0.7411464422178103
6,2,1.0,balanced,0.25,768,,9,117,215,7,376,0.9435483870967742,0.9824561403508771,0.35240963855421686,0.38620689655172413,0.5131578947368421,0.5544554455445545,0.7065217391304348,0.7506702412868632,0.7572110275330594,0.7471042782959927
6,3,1.0,balanced,0.3,768,,10,119,206,9,388,0.9296875,0.9426751592356688,0.36615384615384616,0.4340175953079179,0.5253863134657837,0.5943775100401606,0.7108721624850657,0.7636738906088751,0.7771350362618189,0.7462744806779692
6,4,2.0,balanced,0.3,768,,10,126,153,8,435,0.9402985074626866,0.9175257731958762,0.45161290322580644,0.4427860696517413,0.6101694915254238,0.5973154362416108,0.7730061349693251,0.7555178268251274,0.7622097511964436,0.7937916083989183
6,5,1.5,balanced,0.25,768,,10,163,212,4,351,0.9760479041916168,0.9150943396226415,0.43466666666666665,0.4470046082949309,0.6014760147601476,0.6006191950464397,0.7813998082454459,0.7566302652106084,0.7888691307260483,0.7419047110297567
7,1,1.0,balanced,0.45,768,,10,97,85,32,508,0.751937984496124,0.8604651162790697,0.532967032967033,0.5068493150684932,0.6237942122186495,0.6379310344827587,0.6948424068767909,0.7551020408163265,0.7363218037291274,0.7982513667774245
7,2,2.0,balanced,0.45,768,,9,116,124,24,451,0.8285714285714286,0.7761194029850746,0.48333333333333334,0.4444444444444444,0.6105263157894737,0.5652173913043478,0.725,0.6753246753246753,0.7734101377192303,0.6288519525314508
7,3,1.0,balanced,0.45,768,,10,114,135,14,459,0.890625,0.9154228855721394,0.4578313253012048,0.5443786982248521,0.6047745358090185,0.6827458256029685,0.7490144546649146,0.8056042031523643,0.7760152744865093,0.7867026872553119
7,4,0.25,balanced,0.4,768,,10,129,143,10,440,0.9280575539568345,0.8571428571428571,0.4742647058823529,0.3879310344827586,0.6277372262773723,0.5341246290801187,0.7789855072463768,0.6901840490797546,0.7230606036974481,0.6370582983222869
7,5,2.0,balanced,0.4,768,,10,153,130,22,425,0.8742857142857143,0.8714285714285714,0.5406360424028268,0.580952380952381,0.6681222707423581,0.6971428571428572,0.7782299084435402,0.7922077922077922,0.7877250236793857,0.7963378371816334
